,count,mean,std,min,25%,50%,75%,max
year,1825.0,2016.0,1.414601177444749,2014.0,2015.0,2016.0,2017.0,2018.0
month,1825.0,6.526027397260274,3.4487963272285476,1.0,4.0,7.0,10.0,12.0
day_of_month,1825.0,15.72054794520548,8.798657924850744,1.0,8.0,16.0,23.0,31.0
1,1825.0,0.08493150684931507,0.2788561540046978,0.0,0.0,0.0,0.0,1.0
2,1825.0,0.07671232876712329,0.26620739710694225,0.0,0.0,0.0,0.0,1.0
3,1825.0,0.08493150684931507,0.2788561540046978,0.0,0.0,0.0,0.0,1.0
4,1825.0,0.0821917808219178,0.27473195955960544,0.0,0.0,0.0,0.0,1.0
5,1825.0,0.08493150684931507,0.2788561540046978,0.0,0.0,0.0,0.0,1.0
6,1825.0,0.0821917808219178,0.27473195955960544,0.0,0.0,0.0,0.0,1.0
7,1825.0,0.08493150684931507,0.2788561540046978,0.0,0.0,0.0,0.0,1.0
8,1825.0,0.08493150684931507,0.2788561540046978,0.0,0.0,0.0,0.0,1.0
9,1825.0,0.0821917808219178,0.2747319595596055,0.0,0.0,0.0,0.0,1.0
10,1825.0,0.08493150684931507,0.2788561540046978,0.0,0.0,0.0,0.0,1.0
11,1825.0,0.0821917808219178,0.27473195955960544,0.0,0.0,0.0,0.0,1.0
12,1825.0,0.08493150684931507,0.2788561540046978,0.0,0.0,0.0,0.0,1.0
day>=_0_day_<10,1825.0,0.2958904109589041,0.4565670780461373,0.0,0.0,0.0,1.0,1.0
day>=_10_day_<15,1825.0,0.1643835616438356,0.37072484972458547,0.0,0.0,0.0,0.0,1.0
day>=_15_day_<31,1825.0,0.5205479452054794,0.49971453037924174,0.0,0.0,1.0,1.0,1.0
output/day,1825.0,11.118356164383561,8.283042385257492,0.0,4.0,10.0,17.0,34.0
mv_avg_2,1825.0,11.11972602739726,7.754158118496956,0.0,4.0,10.5,17.0,32.0
mv_avg_3,1825.0,11.121643835616439,7.517324676922789,0.3333333333333333,4.0,10.666666666666666,17.0,29.33333333333333
mv_avg_4,1825.0,11.123013698630137,7.378149729747358,0.25,4.0,10.75,16.75,29.0
mv_avg_5,1825.0,11.12339726027397,7.279783459981824,0.4,4.0,11.0,16.8,28.8
mv_avg_7,1825.0,11.124305283757339,7.147678684772923,0.7142857142857143,4.0,11.285714285714285,17.142857142857142,28.285714285714285
mv_avg_10,1825.0,11.124613698630135,7.024426864952203,0.9,4.1,11.5,17.1,27.6
mv_avg_15,1825.0,11.124902283105024,6.913747825556005,1.0,4.0,11.4,17.2,26.4
mv_avg_20,1825.0,11.126060273972604,6.84840822896006,1.1,4.05,11.3,17.3,24.65
mv_avg_25,1825.0,11.127719452054794,6.797921487692297,1.12,3.96,11.4,17.24,24.12
mv_avg_30,1825.0,11.129793607305936,6.749871842875551,1.1333333333333333,3.966666666666667,11.366666666666667,17.466666666666665,23.43333333333333
mv_avg_45,1825.0,11.133786301369861,6.611570484673551,1.2222222222222223,4.088888888888889,11.4,17.4,23.11111111111111
lst_yr_mv_avg_2,1825.0,10.92427397260274,7.694279376411171,0.0,3.5,10.0,17.0,32.0
lst_yr_mv_avg_3,1825.0,10.9262100456621,7.452032959860868,0.3333333333333333,3.799999999999879,10.333333333333334,16.666666666666668,29.33333333333333
lst_yr_mv_avg_4,1825.0,10.92704109589041,7.306568360911587,0.25,3.75,10.75,16.72499999999991,28.5
lst_yr_mv_avg_5,1825.0,10.927145205479453,7.21015498328301,0.4,3.8,10.8,16.8,28.8
lst_yr_mv_avg_7,1825.0,10.928062622309199,7.07965851595154,0.5428571428570389,3.8571428571428568,11.0,16.857142857142858,27.857142857142854
lst_yr_mv_avg_10,1825.0,10.929150684931505,6.960039156267529,0.9,4.0,11.3,16.7,27.6
lst_yr_mv_avg_15,1825.0,10.92932602739726,6.846815265413477,1.0,3.933333333333333,11.2,16.866666666666667,25.86666666666667
lst_yr_mv_avg_20,1825.0,10.929627397260274,6.773985556239026,1.1,3.9,11.075,17.05,23.75
lst_yr_mv_avg_25,1825.0,10.931208767123287,6.716221036710911,1.12,3.88,11.187999999999995,17.11200000000001,23.2
lst_yr_mv_avg_30,1825.0,10.93259908675799,6.665132699731555,1.1333333333333333,3.8666666666666663,11.2,17.166666666666668,23.36666666666667
lst_yr_mv_avg_45,1825.0,10.935263318112634,6.528775022834118,1.6,3.933333333333333,11.222222222222221,17.133333333333333,22.288888888888888
mean,1825.0,324.1972922374429,192.21010382439076,57.33333333333341,121.69999999999996,349.45999999999987,519.6333333333333,604.275
std,1825.0,33.979315046474134,24.042692881212364,0.0,13.15218613007004,27.07772762499351,52.58001521490868,123.03657992645927
last_year,1825.0,327.78049315068495,200.15112290132217,34.0,116.0,336.0,515.0,701.0
